"Time","cluster","namespace","node","pod","type","Value"
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-18-41.ap-northeast-2.compute.internal,spin-clouddriver-575bdcd67d-64b9j,CPU,4.151801051390775
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-18-41.ap-northeast-2.compute.internal,spin-clouddriver-76f7f84d9-9sg6p,CPU,3.0117374236901453
1701356399000,cloudone-dev-v1-eks-cluster,velero,ip-172-16-18-41.ap-northeast-2.compute.internal,velero-867765df78-rr78f,CPU,2.98062
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-18-41.ap-northeast-2.compute.internal,prometheus-prometheus-kube-prometheus-prometheus-0,CPU,2.504091877075159
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-16-23.ap-northeast-2.compute.internal,vizier-pem-m2l2q,RAM,1.601844
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,vizier-pem-mf9vk,RAM,1.598016
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-16-23.ap-northeast-2.compute.internal,newrelic-bundle-newrelic-logging-2rv69,CPU,1.4939205000000002
1701356399000,cloudone-dev-v1-eks-cluster,keycloak,ip-172-16-16-23.ap-northeast-2.compute.internal,keycloak-postgresql-0,CPU,1.4939205000000002
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,newrelic-bundle-newrelic-logging-sq8c6,CPU,1.49031
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-18-41.ap-northeast-2.compute.internal,prometheus-prometheus-kube-prometheus-prometheus-0,RAM,1.3414036577453612
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-16-23.ap-northeast-2.compute.internal,newrelic-bundle-nrk8s-kubelet-dqgdf,CPU,1.1951364
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-18-41.ap-northeast-2.compute.internal,alertmanager-prometheus-kube-prometheus-alertmanager-0,CPU,1.1945045190979617
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,newrelic-bundle-nrk8s-kubelet-blnhb,CPU,1.192248
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,newrelic-bundle-nrk8s-ksm-588758b9d8-j5vz5,CPU,1.192248
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-18-41.ap-northeast-2.compute.internal,spin-clouddriver-575bdcd67d-64b9j,RAM,0.872531806063334
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-16-23.ap-northeast-2.compute.internal,vizier-cloud-connector-bdcbfb79b-r7c8z,RAM,0.800922
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,vizier-metadata-0,RAM,0.799008
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,vizier-query-broker-7c66d5bfdd-fr9b9,RAM,0.799008
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,pl-nats-0,RAM,0.799008
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-16-23.ap-northeast-2.compute.internal,coredns-67778f6c76-jbdcz,CPU,0.5978685666357534
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-16-23.ap-northeast-2.compute.internal,kube-proxy-xl2p8,CPU,0.5975682
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,newrelic-bundle-nri-metadata-injection-6c886895bc-mxb6s,CPU,0.596124
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-18-41.ap-northeast-2.compute.internal,cluster-autoscaler-5c6d5f9887-7xb8b,CPU,0.596124
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-18-41.ap-northeast-2.compute.internal,kube-proxy-s62fj,CPU,0.596124
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-18-41.ap-northeast-2.compute.internal,coredns-67778f6c76-gm88r,CPU,0.596124
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,,prometheus-prometheus-kube-prometheus-prometheus-0,PV,0.476712324
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,supervisor-scheduler-667bf5678d-vxcbb,CPU,0.4435674791365031
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-16-23.ap-northeast-2.compute.internal,spin-orca-dfdc66cf7-cz8n2,RAM,0.4048943261535963
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-18-41.ap-northeast-2.compute.internal,cluster-autoscaler-5c6d5f9887-7xb8b,RAM,0.39014062499999996
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-18-41.ap-northeast-2.compute.internal,spin-clouddriver-76f7f84d9-9sg6p,RAM,0.37252873412577314
1701356399000,cloudone-dev-v1-eks-cluster,keycloak,ip-172-16-18-41.ap-northeast-2.compute.internal,keycloak-0,RAM,0.36511174720764156
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-16-23.ap-northeast-2.compute.internal,ebs-csi-controller-66b79658fd-7prkx,CPU,0.35854091999999993
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-18-41.ap-northeast-2.compute.internal,ebs-csi-controller-66b79658fd-j98nw,CPU,0.3576744
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,,vizier-metadata-0,PV,0.34780931506849316
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,vizier-query-broker-7c66d5bfdd-fr9b9,CPU,0.33599497432918135
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-18-41.ap-northeast-2.compute.internal,spin-front50-564ccc86ff-5fj7k,RAM,0.3105235561650594
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-16-23.ap-northeast-2.compute.internal,spin-gate-66c5fd9d8d-27hd4,RAM,0.30054766958125434
1701356399000,cloudone-dev-v1-eks-cluster,consul,,consul-79695765d7-rq8mx,PV,0.27172602739726026
1701356399000,cloudone-dev-v1-eks-cluster,spinnaker,ip-172-16-18-41.ap-northeast-2.compute.internal,spin-rosco-746d4cdd88-5m592,RAM,0.26631321683502196
1701356399000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.24812817499999998
1701356399000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.24752849999999998
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-16-23.ap-northeast-2.compute.internal,newrelic-bundle-nrk8s-kubelet-dqgdf,RAM,0.22377502173185349
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,newrelic-bundle-nrk8s-ksm-588758b9d8-j5vz5,RAM,0.22324025630950928
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-18-41.ap-northeast-2.compute.internal,newrelic-bundle-nrk8s-kubelet-blnhb,RAM,0.22324025630950928
1701356399000,cloudone-dev-v1-eks-cluster,keycloak,,keycloak-postgresql-0,PV,0.21738082191780828
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,,loki-read-2,PV,0.21738082191780828
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,,loki-write-1,PV,0.21738082191780828
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,,loki-write-0,PV,0.21738082191780828
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,,loki-read-0,PV,0.21738082191780828
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,,loki-read-1,PV,0.21738082191780828
