"Time","cluster","namespace","node","pod","type","Value"
1700784000000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.0009325305692697063
1700870400000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.0024427974591363388
1700956800000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.0039512830733057155
1701043200000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.0054831531707581265
1701129600000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.007032027668383709
1701216000000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.008421736358300085
1701302400000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.009970751860958398
1700784000000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.0025960369192172383
1700870400000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.006612032051271734
1700956800000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.010587248266300834
1701043200000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.014673509824012899
1701129600000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.018766443577593682
1701216000000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.02261981435379992
1701302400000,cloudone-dev-v1-eks-cluster,argo-rollouts,ip-172-16-16-23.ap-northeast-2.compute.internal,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.026651663079457016
1700784000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.027455333795975017
1700870400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.06863833448993753
1700956800000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.10982133518390007
1701043200000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.1510043358778626
1701129600000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.1921873365718251
1701216000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.23337033726578768
1701302400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,CPU,0.24795598334489938
1700784000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.007187196391394865
1700870400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.017967990978487162
1700956800000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.02874878556557946
1701043200000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.03952958015267176
1701129600000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.050310374739764054
1701216000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.061091169326856355
1701302400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-16-23.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-v8d6q,RAM,0.06490936740978488
1700784000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.000017914840965324188
1700870400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.0000476378781105869
1700956800000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.00007312607826087836
1701043200000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.0000997847133680526
1701129600000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.00013037822659530473
1701216000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.00016094233542823585
1701302400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,CPU,0.000171255835766075
