"Time","namespace","type","Value"
1701356399000,newrelic,CPU,8.159904775863744
1701356399000,spinnaker,CPU,7.446626294205988
1701356399000,newrelic,RAM,7.403288113145532
1701356399000,kube-system,CPU,4.480422167365584
1701356399000,prometheus,CPU,4.263364045935138
1701356399000,spinnaker,RAM,3.0174817715462043
1701356399000,velero,CPU,2.9506425000000007
1701356399000,prometheus,RAM,2.4457247632621124
1701356399000,prometheus,PV,1.7630849267876716
1701356399000,keycloak,CPU,1.4876453619657402
1701356399000,kube-system,RAM,1.2916746781401633
1701356399000,keycloak,RAM,0.5597111301091512
1701356399000,castai-agent,CPU,0.5281142880260634
1701356399000,dev-supervisor,CPU,0.47627967381538755
1701356399000,dev-supervisor,RAM,0.34693336967515964
1701356399000,newrelic,PV,0.34431123287671234
1701356399000,dev-spaceone,PV,0.34431123287671234
1701356399000,consul,PV,0.2689931506849315
1701356399000,dev-spaceone,CPU,0.2525690291198915
1701356399000,keycloak,PV,0.21519452054794522
1701356399000,castai-agent,RAM,0.18478875728797917
1701356399000,velero,RAM,0.0988715
1701356399000,monitoring,CPU,0.0751616685010001
1701356399000,docs,RAM,0.0656824092645645
1701356399000,dev-portal,RAM,0.05676808749961852
1701356399000,monitoring,RAM,0.05595317961374918
1701356399000,dev-spaceone,RAM,0.053018923304540645
1701356399000,sp1-agent,RAM,0.045350380393981926
1701356399000,dev2-spaceone,RAM,0.04361484606885911
1701356399000,dev-portal,CPU,0.036684498685220224
1701356399000,argo-rollouts,RAM,0.028504352386951447
1701356399000,consul,RAM,0.017332891661802928
1701356399000,sp1-agent,CPU,0.015944307433569407
1701356399000,consul,CPU,0.012435123044623287
1701356399000,argo-rollouts,CPU,0.010625021832291005
1701356399000,dev2-spaceone,CPU,0.00531818263630961
1701356399000,spacectl,RAM,0.0014897258486747742
1701356399000,docs,CPU,0.0009754766875745087
1701356399000,px-operator,RAM,0.0006011981759071349
1701356399000,px-operator,CPU,0.00009413046203799983
1701356399000,spacectl,CPU,0.000004158389107570134

